The usage of ZAI and ZHENGZAI in classical Chinese and modern Chinese,,,
Verbs,Time,ZAI,ZHENGZAI
侦听延安与武汉八路军办事处的无线电联络,modern Chinese（1920-2020）,1,0
侦察火情,modern Chinese（1920-2020）,1,0
侧耳细听,modern Chinese（1920-2020）,0,1
侮辱中国人,modern Chinese（1920-2020）,1,0
侵入,modern Chinese（1920-2020）,0,1
侵犯公民的合法商业经营权利,modern Chinese（1920-2020）,1,0
侵犯老挝川圹省等地上空,modern Chinese（1920-2020）,0,1
侵略中国,modern Chinese（1920-2020）,0,1
侵略柬埔寨,modern Chinese（1920-2020）,0,1
侵袭百科的公正性,modern Chinese（1920-2020）,0,1
便秘,modern Chinese（1920-2020）,1,0
促使着她,modern Chinese（1920-2020）,1,0
"促成「小剧
院运动」",modern Chinese（1920-2020）,1,0
促成环境的恶化,modern Chinese（1920-2020）,1,0
促进和平,modern Chinese（1920-2020）,1,0
促销一部好莱坞僵尸片,modern Chinese（1920-2020）,1,0
保佑,modern Chinese（1920-2020）,1,0
保佑俺们,modern Chinese（1920-2020）,1,0
保卫他们的民族独立和世界和平,modern Chinese（1920-2020）,0,1
保卫地球,modern Chinese（1920-2020）,1,0
保卫着和平事业,modern Chinese（1920-2020）,1,0
保命,modern Chinese（1920-2020）,1,0
保护他,modern Chinese（1920-2020）,1,0
保护他底心爱的东西,modern Chinese（1920-2020）,1,0
保护他自己,modern Chinese（1920-2020）,1,0
保护创新,modern Chinese（1920-2020）,1,0
