The usage of ZAI and ZHENGZAI in the periods during the Yuan Dynasty and the Ming Dynasty ,,,
Verbs,Time,ZAI,ZHENGZAI
愁闷,the Qing Dynasty,0,2
愁悶,the Qing Dynasty,0,1
筹划无路,the Qing Dynasty,0,1
筹量,the Qing Dynasty,0,1
筹思,the Qing Dynasty,0,1
筹议如可收拾采和夫妻的计策,the Qing Dynasty,0,1
踌躇,the Qing Dynasty,0,42
踌躇不决,the Qing Dynasty,0,1
踌躇设法,the Qing Dynasty,0,1
踌躇脱身之计,the Qing Dynasty,0,1
踌躇无处安歇,the Qing Dynasty,0,1
踌思,the Qing Dynasty,0,1
出恭,the Qing Dynasty,0,1
出神,the Qing Dynasty,0,5
出神细看,the Qing Dynasty,0,1
传见一般司、道,the Qing Dynasty,0,1
传令毕,the Qing Dynasty,0,1
垂涎,the Qing Dynasty,0,1
醋妒他两个,the Qing Dynasty,0,1
催督各军且战且走,the Qing Dynasty,0,1
催人寻觅军师众将来护救,the Qing Dynasty,0,1
忖度,the Qing Dynasty,0,1
忖量,the Qing Dynasty,0,1
打得落花流水,the Qing Dynasty,0,1
打点主意,the Qing Dynasty,0,1
打斗,the Qing Dynasty,0,1
打盹,the Qing Dynasty,0,1
打二梆,the Qing Dynasty,0,1
打关,the Qing Dynasty,0,2
打架,the Qing Dynasty,0,2
打量,the Qing Dynasty,0,2
打量着他,the Qing Dynasty,0,1
打麻,the Qing Dynasty,0,1
打起稿子,the Qing Dynasty,0,1
打睡,the Qing Dynasty,0,1
打算,the Qing Dynasty,0,4
打算抵敌之策,the Qing Dynasty,0,1
打算计策,the Qing Dynasty,0,1
打算如何再去找那长房,the Qing Dynasty,0,1
打仗,the Qing Dynasty,0,1
大摆筵席,the Qing Dynasty,0,1
大吵,the Qing Dynasty,0,1
大嚼,the Qing Dynasty,0,1
大怒,the Qing Dynasty,0,5
大肆横行,the Qing Dynasty,0,1
大喜,the Qing Dynasty,0,1
大笑,the Qing Dynasty,0,1
大悦,the Qing Dynasty,0,1
大战,the Qing Dynasty,0,1
呆呆的不得劲儿,the Qing Dynasty,0,1
呆看,the Qing Dynasty,0,1
呆看动静,the Qing Dynasty,0,1
呆立盼望,the Qing Dynasty,0,1
呆望,the Qing Dynasty,0,2
呆想,the Qing Dynasty,0,2
代你踌躇,the Qing Dynasty,0,1
带想带走,the Qing Dynasty,0,1
弹唱,the Qing Dynasty,0,1
弹唱吃酒,the Qing Dynasty,0,1
祷告,the Qing Dynasty,0,1
得趣,the Qing Dynasty,0,2
得意,the Qing Dynasty,0,5
得意洋洋,the Qing Dynasty,0,6
等候,the Qing Dynasty,0,1
等候煮熟李玄,the Qing Dynasty,0,1
等你,the Qing Dynasty,0,1
等死,the Qing Dynasty,0,1
等着,the Qing Dynasty,0,1
抵敌不住,the Qing Dynasty,0,1
点兵,the Qing Dynasty,0,1
惦记,the Qing Dynasty,0,1
调拨人马,the Qing Dynasty,0,1
调理,the Qing Dynasty,0,1
调情,the Qing Dynasty,0,1
调笑,the Qing Dynasty,0,1
掉换,the Qing Dynasty,0,1
顶嘴,the Qing Dynasty,0,1
东睃西望,the Qing Dynasty,0,1
东张西望,the Qing Dynasty,0,2
动怒,the Qing Dynasty,0,1
动手,the Qing Dynasty,0,7
督工,the Qing Dynasty,0,1
独坐,the Qing Dynasty,0,1
读书,the Qing Dynasty,0,1
对打,the Qing Dynasty,0,1
对敌,the Qing Dynasty,0,1
对镜梳头,the Qing Dynasty,0,2
对弈,the Qing Dynasty,0,1
对着镜子，细匀铅黄,the Qing Dynasty,0,1
对坐愁闷,the Qing Dynasty,0,1
对坐说话,the Qing Dynasty,0,1
兑银子赔鹰,the Qing Dynasty,0,1
躲来躲去,the Qing Dynasty,0,1
恶斗,the Qing Dynasty,0,1
发愁,the Qing Dynasty,0,3
发出光来,the Qing Dynasty,0,1
发呆,the Qing Dynasty,0,3
发抖,the Qing Dynasty,0,2
发烦,the Qing Dynasty,0,1
发放,the Qing Dynasty,0,1
发放银钱,the Qing Dynasty,0,1
发疯,the Qing Dynasty,0,1
发慌,the Qing Dynasty,0,2
发货落船,the Qing Dynasty,0,1
发急,the Qing Dynasty,0,1
发脚追赶,the Qing Dynasty,0,1
发狂,the Qing Dynasty,0,1
发愣,the Qing Dynasty,0,12
发闷,the Qing Dynasty,0,2
发怒,the Qing Dynasty,0,2
发呕,the Qing Dynasty,0,1
发威,the Qing Dynasty,0,1
发笑,the Qing Dynasty,0,1
发躁,the Qing Dynasty,0,2
发怔,the Qing Dynasty,0,1
伐柯,the Qing Dynasty,0,1
烦得了不得,the Qing Dynasty,0,1
烦虑,the Qing Dynasty,0,1
烦闷,the Qing Dynasty,0,8
烦恼,the Qing Dynasty,0,11
烦思,the Qing Dynasty,0,1
犯想,the Qing Dynasty,0,3
访拿打听,the Qing Dynasty,0,1
放人,the Qing Dynasty,0,1
放心,the Qing Dynasty,0,1
分辩,the Qing Dynasty,0,1
分付,the Qing Dynasty,0,1
分付枪刀要锐利,the Qing Dynasty,0,1
分理事务,the Qing Dynasty,0,1
分派,the Qing Dynasty,0,2
分派兵将,the Qing Dynasty,0,1
吩咐,the Qing Dynasty,0,3
吩咐伙计将店内暂闭,the Qing Dynasty,0,1
吩咐收生,the Qing Dynasty,0,1
焚化纸钱,the Qing Dynasty,0,1
愤懑,the Qing Dynasty,0,1
愤怒,the Qing Dynasty,0,2
逢场作戏,the Qing Dynasty,0,1
奉承,the Qing Dynasty,0,1
伏侍盥洗,the Qing Dynasty,0,1
服母丧,the Qing Dynasty,0,1
抚谕可汗,the Qing Dynasty,0,1
付价给他,the Qing Dynasty,0,1
附耳议论,the Qing Dynasty,0,1
赶打,the Qing Dynasty,0,1
赶打喽卒,the Qing Dynasty,0,1
